Country Name,Country Code_x,Indicator Name_x,Indicator Code_x,Date,Value
Australia,AUS,"Population, total",SP.POP.TOTL,1960,10276477.0
Austria,AUT,"Population, total",SP.POP.TOTL,1960,7047539.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1960,9153489.0
Canada,CAN,"Population, total",SP.POP.TOTL,1960,17909356.0
Chile,CHL,"Population, total",SP.POP.TOTL,1960,8141820.0
Colombia,COL,"Population, total",SP.POP.TOTL,1960,15687688.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1960,1346302.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1960,4579603.0
Estonia,EST,"Population, total",SP.POP.TOTL,1960,1211537.0
Finland,FIN,"Population, total",SP.POP.TOTL,1960,4429634.0
France,FRA,"Population, total",SP.POP.TOTL,1960,46649927.0
Germany,DEU,"Population, total",SP.POP.TOTL,1960,72814900.0
Greece,GRC,"Population, total",SP.POP.TOTL,1960,8331725.0
Hungary,HUN,"Population, total",SP.POP.TOTL,1960,9983967.0
Iceland,ISL,"Population, total",SP.POP.TOTL,1960,175574.0
Ireland,IRL,"Population, total",SP.POP.TOTL,1960,2828600.0
Italy,ITA,"Population, total",SP.POP.TOTL,1960,50199700.0
Japan,JPN,"Population, total",SP.POP.TOTL,1960,93216000.0
Latvia,LVA,"Population, total",SP.POP.TOTL,1960,2120979.0
Lithuania,LTU,"Population, total",SP.POP.TOTL,1960,2778550.0
Luxembourg,LUX,"Population, total",SP.POP.TOTL,1960,313970.0
Mexico,MEX,"Population, total",SP.POP.TOTL,1960,36268055.0
Netherlands,NLD,"Population, total",SP.POP.TOTL,1960,11486631.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1960,2371800.0
Norway,NOR,"Population, total",SP.POP.TOTL,1960,3581239.0
Poland,POL,"Population, total",SP.POP.TOTL,1960,29637450.0
Portugal,PRT,"Population, total",SP.POP.TOTL,1960,8857716.0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,1960,4068095.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1960,1584720.0
Spain,ESP,"Population, total",SP.POP.TOTL,1960,30455000.0
Sweden,SWE,"Population, total",SP.POP.TOTL,1960,7484656.0
Switzerland,CHE,"Population, total",SP.POP.TOTL,1960,5327827.0
United Kingdom,GBR,"Population, total",SP.POP.TOTL,1960,52400000.0
United States,USA,"Population, total",SP.POP.TOTL,1960,180671000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1960,20349744.0
Brazil,BRA,"Population, total",SP.POP.TOTL,1960,73092515.0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,1960,7867374.0
Croatia,HRV,"Population, total",SP.POP.TOTL,1960,4140181.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1960,585725.0
India,IND,"Population, total",SP.POP.TOTL,1960,445954579.0
Malta,MLT,"Population, total",SP.POP.TOTL,1960,326550.0
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1960,1462368.0
Romania,ROU,"Population, total",SP.POP.TOTL,1960,18406905.0
Serbia,SRB,"Population, total",SP.POP.TOTL,1960,6608000.0
Australia,AUS,"Population, total",SP.POP.TOTL,1961,10483000.0
Austria,AUT,"Population, total",SP.POP.TOTL,1961,7086299.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1961,9183948.0
Canada,CAN,"Population, total",SP.POP.TOTL,1961,18271000.0
Chile,CHL,"Population, total",SP.POP.TOTL,1961,8313535.0
Colombia,COL,"Population, total",SP.POP.TOTL,1961,16182414.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1961,1396138.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1961,4611687.0
Estonia,EST,"Population, total",SP.POP.TOTL,1961,1225077.0
Finland,FIN,"Population, total",SP.POP.TOTL,1961,4461005.0
France,FRA,"Population, total",SP.POP.TOTL,1961,47161641.0
Germany,DEU,"Population, total",SP.POP.TOTL,1961,73377632.0
Greece,GRC,"Population, total",SP.POP.TOTL,1961,8398050.0
Hungary,HUN,"Population, total",SP.POP.TOTL,1961,10029321.0
Iceland,ISL,"Population, total",SP.POP.TOTL,1961,179029.0
Ireland,IRL,"Population, total",SP.POP.TOTL,1961,2824400.0
Italy,ITA,"Population, total",SP.POP.TOTL,1961,50536350.0
Japan,JPN,"Population, total",SP.POP.TOTL,1961,94055000.0
Latvia,LVA,"Population, total",SP.POP.TOTL,1961,2152681.0
Lithuania,LTU,"Population, total",SP.POP.TOTL,1961,2823550.0
Luxembourg,LUX,"Population, total",SP.POP.TOTL,1961,316845.0
Mexico,MEX,"Population, total",SP.POP.TOTL,1961,37439317.0
Netherlands,NLD,"Population, total",SP.POP.TOTL,1961,11638712.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1961,2419700.0
Norway,NOR,"Population, total",SP.POP.TOTL,1961,3609800.0
Poland,POL,"Population, total",SP.POP.TOTL,1961,29964000.0
Portugal,PRT,"Population, total",SP.POP.TOTL,1961,8929316.0
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,1961,4191667.0
Slovenia,SVN,"Population, total",SP.POP.TOTL,1961,1594131.0
Spain,ESP,"Population, total",SP.POP.TOTL,1961,30739250.0
Sweden,SWE,"Population, total",SP.POP.TOTL,1961,7519998.0
Switzerland,CHE,"Population, total",SP.POP.TOTL,1961,5434294.0
United Kingdom,GBR,"Population, total",SP.POP.TOTL,1961,52800000.0
United States,USA,"Population, total",SP.POP.TOTL,1961,183691000.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1961,20680653.0
Brazil,BRA,"Population, total",SP.POP.TOTL,1961,75330008.0
Bulgaria,BGR,"Population, total",SP.POP.TOTL,1961,7943118.0
Croatia,HRV,"Population, total",SP.POP.TOTL,1961,4167292.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1961,594771.0
India,IND,"Population, total",SP.POP.TOTL,1961,456351876.0
Malta,MLT,"Population, total",SP.POP.TOTL,1961,325250.0
North Macedonia,MKD,"Population, total",SP.POP.TOTL,1961,1481112.0
Romania,ROU,"Population, total",SP.POP.TOTL,1961,18555250.0
Serbia,SRB,"Population, total",SP.POP.TOTL,1961,6655000.0
Australia,AUS,"Population, total",SP.POP.TOTL,1962,10742000.0
Austria,AUT,"Population, total",SP.POP.TOTL,1962,7129864.0
Belgium,BEL,"Population, total",SP.POP.TOTL,1962,9220578.0
Canada,CAN,"Population, total",SP.POP.TOTL,1962,18614000.0
Chile,CHL,"Population, total",SP.POP.TOTL,1962,8486120.0
Colombia,COL,"Population, total",SP.POP.TOTL,1962,16691282.0
Costa Rica,CRI,"Population, total",SP.POP.TOTL,1962,1447037.0
Denmark,DNK,"Population, total",SP.POP.TOTL,1962,4647727.0
Estonia,EST,"Population, total",SP.POP.TOTL,1962,1241623.0
Finland,FIN,"Population, total",SP.POP.TOTL,1962,4491443.0
France,FRA,"Population, total",SP.POP.TOTL,1962,47679792.0
Germany,DEU,"Population, total",SP.POP.TOTL,1962,74025784.0
Greece,GRC,"Population, total",SP.POP.TOTL,1962,8448233.0
Hungary,HUN,"Population, total",SP.POP.TOTL,1962,10061734.0
Iceland,ISL,"Population, total",SP.POP.TOTL,1962,182378.0
Ireland,IRL,"Population, total",SP.POP.TOTL,1962,2836050.0
Italy,ITA,"Population, total",SP.POP.TOTL,1962,50879450.0
Japan,JPN,"Population, total",SP.POP.TOTL,1962,94933000.0
Latvia,LVA,"Population, total",SP.POP.TOTL,1962,2181586.0
Lithuania,LTU,"Population, total",SP.POP.TOTL,1962,2863350.0
Luxembourg,LUX,"Population, total",SP.POP.TOTL,1962,320750.0
Mexico,MEX,"Population, total",SP.POP.TOTL,1962,38683283.0
Netherlands,NLD,"Population, total",SP.POP.TOTL,1962,11805689.0
New Zealand,NZL,"Population, total",SP.POP.TOTL,1962,2482000.0
Norway,NOR,"Population, total",SP.POP.TOTL,1962,3638918.0
